0,0,0,0
0.0005182,0.0029621,0.0005182,-0.0030763
0.0020716,0.0062984,0.0020716,-0.0057783
0.004657,0.0094878,0.004657,-0.0083842
0.0082691,0.0124761,0.0082691,-0.0107463
0.0129005,0.0155107,0.0129005,-0.0127438
0.0185414,0.0185504,0.0185414,-0.014511
0.0251802,0.0216574,0.0251802,-0.0161327
0.0328031,0.0249344,0.0328031,-0.0177365
0.0413944,0.0283198,0.0413944,-0.0193789
0.0509362,0.0317416,0.0509362,-0.0210135
0.0614087,0.0351525,0.0614087,-0.0225987
0.0727903,0.0385483,0.0727903,-0.0241302
0.0850574,0.0419422,0.0850574,-0.0256379
0.0981845,0.0453074,0.0981845,-0.027124
0.1121444,0.0486106,0.1121444,-0.028554
0.1269082,0.0518267,0.1269082,-0.0299105
0.1424453,0.05494,0.1424453,-0.0311946
0.1587234,0.0579427,0.1587234,-0.0324162
0.175709,0.0608216,0.175709,-0.033578
0.1933666,0.063561,0.1933666,-0.0346646
0.2116599,0.0661493,0.2116599,-0.0356598
0.2305507,0.0685717,0.2305507,-0.0365549
0.25,0.0708129,0.25,-0.0373513
0.2699675,0.0728592,0.2699675,-0.0380507
0.2904118,0.0746944,0.2904118,-0.0386428
0.3112904,0.0763044,0.3112904,-0.0391124
0.3325602,0.0776808,0.3325602,-0.0394506
0.3541771,0.0788206,0.3541771,-0.0396559
0.3760961,0.0797095,0.3760961,-0.0397203
0.398272,0.0803071,0.398272,-0.0396123
0.4206588,0.080575,0.4206588,-0.0392991
0.4432099,0.0804996,0.4432099,-0.0387648
0.4658788,0.0800748,0.4658788,-0.0380005
0.4886184,0.079283,0.4886184,-0.0369899
0.5113816,0.078102,0.5113816,-0.0357139
0.5341212,0.0765419,0.5341212,-0.0341836
0.5567901,0.0746451,0.5567901,-0.0324406
0.5793413,0.0724537,0.5793413,-0.0305286
0.601728,0.0700055,0.601728,-0.0284907
0.6239039,0.0673353,0.6239039,-0.0263631
0.645823,0.0644655,0.645823,-0.0241615
0.6674398,0.0614188,0.6674398,-0.0219015
0.6887096,0.0582331,0.6887096,-0.0196201
0.7095883,0.0549522,0.7095883,-0.0173595
0.7300326,0.0516055,0.7300326,-0.0151476
0.7500001,0.0482068,0.7500001,-0.0129996
0.7694494,0.0447732,0.7694494,-0.0109295
0.7883402,0.0413388,0.7883402,-0.0089531
0.8066334,0.0379394,0.8066334,-0.0070849
0.8242911,0.0346009,0.8242911,-0.0053469
0.8412766,0.0313368,0.8412766,-0.0037682
0.8575548,0.0281599,0.8575548,-0.0023697
0.8730919,0.0250904,0.8730919,-0.001145
0.8878557,0.0221551,0.8878557,-0.0000691
0.9018156,0.0193769,0.9018156,0.0008802
0.9149427,0.0167706,0.9149427,0.0016896
0.9272097,0.0143409,0.9272097,0.0022868
0.9385913,0.0120913,0.9385913,0.0026253
0.9490639,0.0100245,0.9490639,0.0026918
0.9586056,0.0081437,0.9586056,0.0025122
0.9671969,0.0064518,0.9671969,0.002177
0.9748199,0.0049516,0.9748199,0.0017703
0.9814587,0.0036458,0.9814587,0.0013515
0.9870995,0.0025364,0.9870995,0.0009607
0.9917309,0.0016258,0.9917309,0.000623
0.995343,0.0009156,0.995343,0.0003526
0.9979284,0.0004073,0.9979284,0.0001572
0.9994819,0.0001019,0.9994819,0.0000394
1,0,1,0
